,사용일자,노선명,역명,합계,구분,일,미세먼지
0,20240601,경부선,신도림,7909,구로구,1,33.0
1,20240601,7호선,남구로,18350,구로구,1,33.0
2,20240601,7호선,대림,18344,구로구,1,33.0
3,20240601,7호선,천왕,15736,구로구,1,33.0
4,20240601,경인선,온수,10747,구로구,1,33.0
5,20240601,2호선,구로디지털단지,78024,구로구,1,33.0
6,20240601,2호선,도림천,1964,구로구,1,33.0
7,20240601,4호선,명동,75139,중구,1,22.0
8,20240601,4호선,회현,56518,중구,1,22.0
9,20240601,4호선,충무로,42173,중구,1,22.0
10,20240601,6호선,버티고개,3673,중구,1,22.0
11,20240601,3호선,약수,21106,중구,1,22.0
12,20240601,2호선,신당,28303,중구,1,22.0
13,20240601,4호선,동대문역사문화공원,35083,중구,1,22.0
14,20240601,6호선,청구,5946,중구,1,22.0
15,20240601,2호선,을지로4가,21677,중구,1,22.0
16,20240601,2호선,시청,35486,중구,1,22.0
17,20240601,3호선,을지로3가,17348,중구,1,22.0
18,20240601,2호선,을지로입구,91362,중구,1,22.0
19,20240601,3호선,동대입구,24724,중구,1,22.0
20,20240601,4호선,숙대입구,24638,용산구,1,31.0
21,20240601,6호선,삼각지,16534,용산구,1,31.0
22,20240601,4호선,신용산,34414,용산구,1,31.0
23,20240601,경원선,이촌,7205,용산구,1,31.0
24,20240601,경의선,효창공원앞,4866,용산구,1,31.0
25,20240601,6호선,한강진,24025,용산구,1,31.0
26,20240601,6호선,이태원,34148,용산구,1,31.0
27,20240601,6호선,녹사평,14026,용산구,1,31.0
28,20240601,경원선,창동,6,도봉구,1,25.0
29,20240601,4호선,쌍문,47076,도봉구,1,25.0
30,20240601,경원선,도봉산,18342,도봉구,1,25.0
31,20240601,7호선,노원,46674,노원구,1,25.0
32,20240601,4호선,상계,31604,노원구,1,25.0
33,20240601,4호선,당고개,16413,노원구,1,25.0
34,20240601,7호선,하계,28058,노원구,1,25.0
35,20240601,경원선,석계,15356,노원구,1,25.0
36,20240601,7호선,수락산,22989,노원구,1,25.0
37,20240601,7호선,마들,20885,노원구,1,25.0
38,20240601,7호선,중계,23122,노원구,1,25.0
39,20240601,7호선,공릉,20902,노원구,1,25.0
40,20240601,6호선,화랑대,15593,노원구,1,25.0
41,20240601,7호선,태릉입구,16794,노원구,1,25.0
42,20240601,6호선,상월곡,9276,성북구,1,28.0
43,20240601,6호선,돌곶이,14660,성북구,1,28.0
44,20240601,4호선,길음,34844,성북구,1,28.0
45,20240601,4호선,한성대입구,25868,성북구,1,28.0
46,20240601,6호선,월곡,17534,성북구,1,28.0
47,20240601,6호선,고려대,13476,성북구,1,28.0
48,20240601,6호선,안암,16472,성북구,1,28.0
49,20240601,6호선,보문,12141,성북구,1,28.0
50,20240601,4호선,성신여대입구,40130,성북구,1,28.0
51,20240601,5호선,아차산,31116,광진구,1,27.0
52,20240601,5호선,광나루,25571,광진구,1,27.0
53,20240601,7호선,중곡,15797,광진구,1,27.0
54,20240601,5호선,군자,21917,광진구,1,27.0
55,20240601,7호선,어린이대공원,28243,광진구,1,27.0
56,20240601,2호선,구의,39796,광진구,1,27.0
57,20240601,2호선,강변,60915,광진구,1,27.0
58,20240601,7호선,건대입구,28914,광진구,1,27.0
59,20240601,5호선,장한평,27662,동대문구,1,27.0
60,20240601,1호선,신설동,23484,동대문구,1,27.0
61,20240601,1호선,청량리,47652,동대문구,1,27.0
62,20240601,1호선,제기동,35250,동대문구,1,27.0
63,20240601,2호선,용두,4120,동대문구,1,27.0
64,20240601,4호선,혜화,73442,종로구,1,27.0
65,20240601,1호선,동대문,26158,종로구,1,27.0
66,20240601,6호선,창신,4655,종로구,1,27.0
67,20240601,1호선,동묘앞,32369,종로구,1,27.0
68,20240601,5호선,서대문,19872,종로구,1,27.0
69,20240601,5호선,광화문,52861,종로구,1,27.0
70,20240601,3호선,종로3가,24129,종로구,1,27.0
71,20240601,3호선,경복궁,56982,종로구,1,27.0
72,20240601,1호선,종각,64019,종로구,1,27.0
73,20240601,1호선,종로5가,46870,종로구,1,27.0
74,20240601,3호선,안국,56140,종로구,1,27.0
75,20240601,4호선,수유,59620,강북구,1,21.0
76,20240601,4호선,미아,24964,강북구,1,21.0
77,20240601,4호선,미아사거리,49073,강북구,1,21.0
78,20240601,5호선,답십리,23182,성동구,1,28.0
79,20240601,5호선,신금호,10664,성동구,1,28.0
80,20240601,5호선,행당,12044,성동구,1,28.0
81,20240601,경원선,왕십리,33936,성동구,1,28.0
82,20240601,5호선,마장,9023,성동구,1,28.0
83,20240601,2호선,뚝섬,49908,성동구,1,28.0
84,20240601,2호선,성수,74941,성동구,1,28.0
85,20240601,2호선,한양대,12151,성동구,1,28.0
86,20240601,3호선,옥수,16184,성동구,1,28.0
87,20240601,2호선,상왕십리,22101,성동구,1,28.0
88,20240601,3호선,금호,13043,성동구,1,28.0
89,20240601,2호선,용답,4907,성동구,1,28.0
90,20240601,2호선,신답,2571,성동구,1,28.0
91,20240601,2호선,교대,40192,서초구,1,32.0
92,20240601,3호선,남부터미널,47820,서초구,1,32.0
93,20240601,3호선,양재,48228,서초구,1,32.0
94,20240601,7호선,반포,11510,서초구,1,32.0
95,20240601,3호선,고속터미널,121453,서초구,1,32.0
96,20240601,7호선,내방,18727,서초구,1,32.0
97,20240601,4호선,남태령,2276,서초구,1,32.0
98,20240601,3호선,잠원,8226,서초구,1,32.0
99,20240601,2호선,서초,25022,서초구,1,32.0
100,20240601,2호선,방배,22942,서초구,1,32.0
101,20240601,3호선,오금,8727,송파구,1,29.0
102,20240601,3호선,경찰병원,9369,송파구,1,29.0
103,20240601,5호선,방이,12731,송파구,1,29.0
104,20240601,5호선,개롱,10459,송파구,1,29.0
105,20240601,5호선,거여,14881,송파구,1,29.0
106,20240601,5호선,마천,11474,송파구,1,29.0
107,20240601,9호선2~3단계,한성백제,5097,송파구,1,29.0
108,20240601,5호선,올림픽공원,14810,송파구,1,29.0
109,20240601,9호선2~3단계,송파나루,10458,송파구,1,29.0
110,20240601,8호선,복정,12915,송파구,1,29.0
111,20240601,2호선,잠실,152628,송파구,1,29.0
112,20240601,8호선,장지,25522,송파구,1,29.0
113,20240601,8호선,문정,22293,송파구,1,29.0
114,20240601,8호선,몽촌토성,12225,송파구,1,29.0
115,20240601,9호선2~3단계,석촌,16809,송파구,1,29.0
116,20240601,8호선,송파,14248,송파구,1,29.0
117,20240601,3호선,가락시장,14383,송파구,1,29.0
