,구분,일,미세먼지,사용일자
0,서울시 평균,1,26.0,20240701
1,강남구,1,29.0,20240701
2,강동구,1,26.0,20240701
3,강북구,1,23.0,20240701
4,강서구,1,25.0,20240701
5,관악구,1,30.0,20240701
6,광진구,1,27.0,20240701
7,구로구,1,28.0,20240701
8,금천구,1,24.0,20240701
9,노원구,1,28.0,20240701
10,도봉구,1,19.0,20240701
11,동대문구,1,29.0,20240701
12,동작구,1,27.0,20240701
13,마포구,1,25.0,20240701
14,서대문구,1,27.0,20240701
15,서초구,1,30.0,20240701
16,성동구,1,26.0,20240701
17,성북구,1,27.0,20240701
18,송파구,1,29.0,20240701
19,양천구,1,22.0,20240701
20,영등포구,1,23.0,20240701
21,용산구,1,28.0,20240701
22,은평구,1,27.0,20240701
23,종로구,1,24.0,20240701
24,중구,1,23.0,20240701
25,중랑구,1,26.0,20240701
26,서울시 평균,2,17.0,20240702
27,강남구,2,19.0,20240702
28,강동구,2,15.0,20240702
29,강북구,2,17.0,20240702
30,강서구,2,16.0,20240702
31,관악구,2,21.0,20240702
32,광진구,2,19.0,20240702
33,구로구,2,14.0,20240702
34,금천구,2,17.0,20240702
35,노원구,2,18.0,20240702
36,도봉구,2,14.0,20240702
37,동대문구,2,19.0,20240702
38,동작구,2,19.0,20240702
39,마포구,2,17.0,20240702
40,서대문구,2,14.0,20240702
41,서초구,2,17.0,20240702
42,성동구,2,17.0,20240702
43,성북구,2,18.0,20240702
44,송파구,2,19.0,20240702
45,양천구,2,16.0,20240702
46,영등포구,2,18.0,20240702
47,용산구,2,18.0,20240702
48,은평구,2,16.0,20240702
49,종로구,2,16.0,20240702
50,중구,2,15.0,20240702
51,중랑구,2,17.0,20240702
52,서울시 평균,3,27.0,20240703
53,강남구,3,28.0,20240703
54,강동구,3,39.0,20240703
55,강북구,3,22.0,20240703
56,강서구,3,26.0,20240703
57,관악구,3,31.0,20240703
58,광진구,3,26.0,20240703
59,구로구,3,27.0,20240703
60,금천구,3,30.0,20240703
61,노원구,3,26.0,20240703
62,도봉구,3,20.0,20240703
63,동대문구,3,28.0,20240703
64,동작구,3,29.0,20240703
65,마포구,3,24.0,20240703
66,서대문구,3,25.0,20240703
67,서초구,3,29.0,20240703
68,성동구,3,25.0,20240703
69,성북구,3,25.0,20240703
70,송파구,3,27.0,20240703
71,양천구,3,21.0,20240703
72,영등포구,3,24.0,20240703
73,용산구,3,30.0,20240703
74,은평구,3,27.0,20240703
75,종로구,3,26.0,20240703
76,중구,3,23.0,20240703
77,중랑구,3,27.0,20240703
78,서울시 평균,4,38.0,20240704
79,강남구,4,40.0,20240704
80,강동구,4,37.0,20240704
81,강북구,4,34.0,20240704
82,강서구,4,39.0,20240704
83,관악구,4,41.0,20240704
84,광진구,4,39.0,20240704
85,구로구,4,37.0,20240704
86,금천구,4,36.0,20240704
87,노원구,4,40.0,20240704
88,도봉구,4,32.0,20240704
89,동대문구,4,40.0,20240704
90,동작구,4,38.0,20240704
91,마포구,4,37.0,20240704
92,서대문구,4,37.0,20240704
93,서초구,4,41.0,20240704
94,성동구,4,38.0,20240704
95,성북구,4,41.0,20240704
96,송파구,4,38.0,20240704
97,양천구,4,34.0,20240704
98,영등포구,4,34.0,20240704
99,용산구,4,39.0,20240704
100,은평구,4,39.0,20240704
101,종로구,4,38.0,20240704
102,중구,4,34.0,20240704
103,중랑구,4,39.0,20240704
104,서울시 평균,5,19.0,20240705
105,강남구,5,20.0,20240705
106,강동구,5,19.0,20240705
107,강북구,5,16.0,20240705
108,강서구,5,21.0,20240705
109,관악구,5,21.0,20240705
110,광진구,5,19.0,20240705
111,구로구,5,16.0,20240705
112,금천구,5,18.0,20240705
113,노원구,5,22.0,20240705
114,도봉구,5,14.0,20240705
115,동대문구,5,21.0,20240705
116,동작구,5,18.0,20240705
117,마포구,5,19.0,20240705
118,서대문구,5,19.0,20240705
119,서초구,5,18.0,20240705
120,성동구,5,17.0,20240705
121,성북구,5,21.0,20240705
122,송파구,5,18.0,20240705
123,양천구,5,15.0,20240705
124,영등포구,5,18.0,20240705
125,용산구,5,20.0,20240705
126,은평구,5,20.0,20240705
127,종로구,5,18.0,20240705
128,중구,5,15.0,20240705
129,중랑구,5,20.0,20240705
130,서울시 평균,6,28.0,20240706
131,강남구,6,30.0,20240706
132,강동구,6,28.0,20240706
133,강북구,6,27.0,20240706
134,강서구,6,29.0,20240706
135,관악구,6,32.0,20240706
136,광진구,6,30.0,20240706
