,구분,일,미세먼지,사용일자
194,동작구,8,20,20240808
195,마포구,8,22,20240808
196,서대문구,8,19,20240808
197,서초구,8,18,20240808
198,성동구,8,21,20240808
199,성북구,8,20,20240808
200,송파구,8,22,20240808
201,양천구,8,20,20240808
202,영등포구,8,20,20240808
203,용산구,8,22,20240808
204,은평구,8,19,20240808
205,종로구,8,19,20240808
206,중구,8,16,20240808
207,중랑구,8,22,20240808
208,서울시 평균,9,27,20240809
209,강남구,9,32,20240809
210,강동구,9,28,20240809
211,강북구,9,25,20240809
212,강서구,9,24,20240809
213,관악구,9,33,20240809
214,광진구,9,31,20240809
215,구로구,9,26,20240809
216,금천구,9,29,20240809
217,노원구,9,27,20240809
218,도봉구,9,19,20240809
219,동대문구,9,31,20240809
220,동작구,9,30,20240809
221,마포구,9,28,20240809
222,서대문구,9,24,20240809
223,서초구,9,32,20240809
224,성동구,9,29,20240809
225,성북구,9,27,20240809
226,송파구,9,33,20240809
227,양천구,9,21,20240809
228,영등포구,9,26,20240809
229,용산구,9,30,20240809
230,은평구,9,23,20240809
231,종로구,9,26,20240809
232,중구,9,23,20240809
233,중랑구,9,28,20240809
234,서울시 평균,10,32,20240810
235,강남구,10,35,20240810
236,강동구,10,30,20240810
237,강북구,10,30,20240810
238,강서구,10,31,20240810
239,관악구,10,39,20240810
240,광진구,10,34,20240810
241,구로구,10,31,20240810
242,금천구,10,33,20240810
243,노원구,10,33,20240810
244,도봉구,10,24,20240810
245,동대문구,10,37,20240810
246,동작구,10,34,20240810
247,마포구,10,34,20240810
248,서대문구,10,28,20240810
249,서초구,10,33,20240810
250,성동구,10,34,20240810
251,성북구,10,31,20240810
252,송파구,10,37,20240810
253,양천구,10,28,20240810
254,영등포구,10,32,20240810
255,용산구,10,36,20240810
256,은평구,10,28,20240810
257,종로구,10,31,20240810
258,중구,10,26,20240810
259,중랑구,10,33,20240810
260,서울시 평균,11,28,20240811
261,강남구,11,32,20240811
262,강동구,11,23,20240811
263,강북구,11,30,20240811
264,강서구,11,24,20240811
265,관악구,11,30,20240811
266,광진구,11,31,20240811
267,구로구,11,23,20240811
268,금천구,11,26,20240811
269,노원구,11,31,20240811
270,도봉구,11,24,20240811
271,동대문구,11,35,20240811
272,동작구,11,29,20240811
273,마포구,11,30,20240811
274,서대문구,11,26,20240811
275,서초구,11,25,20240811
276,성동구,11,31,20240811
277,성북구,11,28,20240811
278,송파구,11,32,20240811
279,양천구,11,23,20240811
280,영등포구,11,26,20240811
281,용산구,11,32,20240811
282,은평구,11,26,20240811
283,종로구,11,27,20240811
284,중구,11,25,20240811
285,중랑구,11,29,20240811
286,서울시 평균,12,27,20240812
287,강남구,12,32,20240812
288,강동구,12,26,20240812
289,강북구,12,29,20240812
290,강서구,12,21,20240812
291,관악구,12,27,20240812
292,광진구,12,31,20240812
293,구로구,12,22,20240812
294,금천구,12,25,20240812
295,노원구,12,30,20240812
296,도봉구,12,22,20240812
297,동대문구,12,33,20240812
298,동작구,12,26,20240812
299,마포구,12,26,20240812
300,서대문구,12,24,20240812
301,서초구,12,26,20240812
302,성동구,12,29,20240812
303,성북구,12,26,20240812
304,송파구,12,34,20240812
305,양천구,12,19,20240812
306,영등포구,12,25,20240812
307,용산구,12,32,20240812
308,은평구,12,25,20240812
309,종로구,12,27,20240812
310,중구,12,23,20240812
311,중랑구,12,30,20240812
312,서울시 평균,13,25,20240813
