,구분,일,미세먼지,사용일자
0,서울시 평균,1,28,20240601
1,강남구,1,26,20240601
2,강동구,1,24,20240601
3,강북구,1,21,20240601
4,강서구,1,33,20240601
5,관악구,1,33,20240601
6,광진구,1,27,20240601
7,구로구,1,33,20240601
8,금천구,1,30,20240601
9,노원구,1,25,20240601
10,도봉구,1,25,20240601
11,동대문구,1,27,20240601
12,동작구,1,30,20240601
13,마포구,1,28,20240601
14,서대문구,1,30,20240601
15,서초구,1,32,20240601
16,성동구,1,28,20240601
17,성북구,1,28,20240601
18,송파구,1,29,20240601
19,양천구,1,27,20240601
20,영등포구,1,25,20240601
21,용산구,1,31,20240601
22,은평구,1,31,20240601
23,종로구,1,27,20240601
24,중구,1,22,20240601
25,중랑구,1,22,20240601
26,서울시 평균,2,21,20240602
27,강남구,2,20,20240602
28,강동구,2,15,20240602
29,강북구,2,18,20240602
30,강서구,2,22,20240602
31,관악구,2,24,20240602
32,광진구,2,21,20240602
33,구로구,2,24,20240602
34,금천구,2,19,20240602
35,노원구,2,21,20240602
36,도봉구,2,20,20240602
37,동대문구,2,22,20240602
38,동작구,2,22,20240602
39,마포구,2,23,20240602
40,서대문구,2,21,20240602
41,서초구,2,24,20240602
42,성동구,2,21,20240602
43,성북구,2,22,20240602
44,송파구,2,23,20240602
45,양천구,2,20,20240602
46,영등포구,2,20,20240602
47,용산구,2,25,20240602
48,은평구,2,22,20240602
49,종로구,2,19,20240602
50,중구,2,16,20240602
51,중랑구,2,17,20240602
52,서울시 평균,3,14,20240603
53,강남구,3,13,20240603
54,강동구,3,5,20240603
55,강북구,3,14,20240603
56,강서구,3,15,20240603
57,관악구,3,17,20240603
58,광진구,3,12,20240603
59,구로구,3,19,20240603
60,금천구,3,14,20240603
61,노원구,3,13,20240603
62,도봉구,3,13,20240603
63,동대문구,3,15,20240603
64,동작구,3,16,20240603
65,마포구,3,15,20240603
66,서대문구,3,12,20240603
67,서초구,3,17,20240603
68,성동구,3,13,20240603
69,성북구,3,15,20240603
70,송파구,3,16,20240603
71,양천구,3,15,20240603
72,영등포구,3,15,20240603
73,용산구,3,15,20240603
74,은평구,3,12,20240603
75,종로구,3,13,20240603
76,중구,3,11,20240603
77,중랑구,3,12,20240603
78,서울시 평균,4,17,20240604
